N,Pesquisa sequencial,Pesquisa binaria
1,2,2
2,3,3
3,3,3
4,3,2
5,3,4
6,6,4
7,9,5
8,7,5
9,10,5
10,10,7
11,13,6
12,10,5
13,13,4
14,14,6
15,14,4
16,14,7
17,22,6
18,18,8
19,19,8
20,18,7
21,26,7
22,23,8
23,23,6
24,20,8
25,21,8
26,20,11
27,30,8
28,27,9
29,21,10
30,31,9
31,31,9
32,26,9
33,25,10
34,41,10
35,40,11
36,37,10
37,39,8
38,37,11
39,36,9
40,43,11
41,34,10
42,38,12
43,39,11
44,40,11
45,48,9
46,30,13
47,45,11
48,53,11
49,48,11
50,50,8
51,44,12
52,62,11
53,54,13
54,48,11
55,57,13
56,59,12
57,37,11
58,67,12
59,68,12
60,39,10
61,61,12
62,60,11
63,58,13
64,63,12
65,50,12
66,91,14
67,63,12
68,79,14
69,78,12
70,55,13
71,70,12
72,63,12
73,77,11
74,82,12
75,82,11
76,91,13
77,66,11
78,102,11
79,74,12
80,105,13
81,92,12
82,90,14
83,89,14
84,103,13
85,85,13
86,97,13
87,75,13
88,95,14
89,78,14
90,81,12
91,118,14
92,113,12
93,110,12
94,89,15
95,96,13
96,89,13
97,108,15
98,107,13
99,91,15
100,85,16
101,84,14
102,120,15
103,123,14
104,102,14
105,109,15
106,114,12
107,98,14
108,76,14
109,99,14
110,126,17
111,81,15
112,106,13
113,97,14
114,94,13
115,105,13
116,122,15
117,142,14
118,118,14
119,104,16
120,148,15
121,141,15
122,126,15
123,131,15
124,137,14
125,103,14
126,126,15
127,102,15
128,131,12
129,172,15
130,95,13
131,120,17
132,128,11
133,109,17
134,132,17
135,122,15
136,136,14
137,94,15
138,110,16
139,161,13
140,118,15
141,142,15
142,152,16
143,97,16
144,191,16
145,168,14
146,153,14
147,115,16
148,144,14
149,122,15
150,135,16
151,141,13
152,153,13
153,160,15
154,140,17
155,105,15
156,170,14
157,164,14
158,111,18
159,152,12
160,158,18
161,147,16
162,222,16
163,180,16
164,142,17
165,169,15
166,151,18
167,128,17
168,189,16
169,183,13
170,139,16
171,218,16
172,194,17
173,199,16
174,178,16
175,124,15
176,218,16
177,141,17
178,152,17
179,191,13
180,165,18
181,224,17
182,163,17
183,205,16
184,190,15
185,130,15
186,182,16
187,161,15
188,199,17
189,245,16
190,231,14
191,173,15
192,227,17
193,210,17
194,254,13
195,251,15
196,221,17
197,243,15
198,213,12
199,202,17
200,215,16
201,210,17
202,187,17
203,189,15
204,218,17
205,221,14
206,196,16
207,153,14
208,257,16
209,214,18
210,255,15
211,199,19
212,254,17
213,181,15
214,164,16
215,258,17
216,222,16
217,245,16
218,228,17
219,187,19
220,218,19
221,238,17
222,214,19
223,190,19
224,203,17
225,262,17
226,177,16
227,271,18
228,228,16
229,208,17
230,258,17
231,274,18
232,229,15
233,200,16
234,235,17
235,217,15
236,169,18
237,268,17
238,263,17
239,213,17
240,231,17
241,251,18
242,235,18
243,236,17
244,273,17
245,352,17
246,241,18
247,218,19
248,270,17
249,259,18
250,303,19
251,243,17
252,172,18
253,318,17
254,304,16
255,233,16
256,310,17
257,273,18
258,305,19
259,216,19
260,248,18
261,262,18
262,227,18
263,323,18
264,240,17
265,283,18
266,202,16
267,191,19
268,378,18
269,243,16
270,256,16
271,210,20
272,273,19
273,252,18
274,283,20
275,251,20
276,266,17
277,292,20
278,233,13
279,297,19
280,346,19
281,244,18
282,200,20
283,272,17
284,264,17
285,261,17
286,252,17
287,248,18
288,309,19
289,244,17
290,348,17
291,300,18
292,332,15
293,369,19
294,311,17
295,418,17
296,342,20
